package_name,version,epoch,repository,languages,Programming language
abseil-cpp,20240722,0,https://github.com/abseil/abseil-cpp,"{'C++': 9400426, 'Starlark': 250936, 'CMake': 213565, 'NASL': 197802, 'C': 82963, 'Shell': 44528, 'Python': 23213, 'Batchfile': 6290}",Python
addon-resizer,1.8.22,2,https://github.com/kubernetes/autoscaler,"{'Go': 23092841, 'Shell': 76361, 'Python': 29468, 'Makefile': 27055, 'Dockerfile': 6194, 'Smarty': 5802, 'Mustache': 5063, 'Bicep': 2727, 'Roff': 1730, 'Ruby': 1255}",Python
aerospike-7,7.1.0.7,0,https://github.com/aerospike/aerospike-server,"{'C': 4263461, 'C++': 34555, 'Makefile': 29301, 'CSS': 20062, 'Shell': 12356, 'Python': 3902, 'HTML': 2535, 'DTrace': 1224}",Python
aerospike,6.4.0.25,0,https://github.com/aerospike/aerospike-server,"{'C': 4263461, 'C++': 34555, 'Makefile': 29301, 'CSS': 20062, 'Shell': 12356, 'Python': 3902, 'HTML': 2535, 'DTrace': 1224}",Python
airflow,2.10.2,0,https://github.com/apache/airflow,"{'Python': 36252570, 'TypeScript': 1111913, 'JavaScript': 265455, 'Shell': 190936, 'HTML': 166007, 'Dockerfile': 91772, 'Jinja': 50800, 'CSS': 23445, 'Go': 9491, 'Jupyter Notebook': 5536, 'HCL': 3786, 'Mako': 2692}",Python
akhq,0.25.1,0,https://github.com/tchiotludo/akhq,"{'Java': 764468, 'JavaScript': 487798, 'SCSS': 67894, 'Mustache': 2284, 'HTML': 1325, 'Shell': 945, 'Dockerfile': 562, 'TypeScript': 342}",JavaScript
alsa-lib,1.2.12,1,https://github.com/alsa-project/alsa-lib.git,"{'C': 4109727, 'M4': 45495, 'Makefile': 17705, 'Common Lisp': 13388, 'Roff': 10718, 'Python': 9543, 'Shell': 3208}",Python
aom,3.9.1,0,https://aomedia.googlesource.com/aom,{'Python': 159690},Python
apache2,2.4.62,1,https://github.com/apache/httpd,"{'C': 11458448, 'Python': 674135, 'M4': 128164, 'Shell': 107585, 'CMake': 54660, 'Makefile': 42025, 'Awk': 36700, 'Perl': 26848, 'BitBake': 20321, 'GDB': 17311, 'HTML': 15472, 'Lex': 13810, 'Lua': 13797, 'DTrace': 12419, 'Yacc': 10778, 'C++': 4379, 'JavaScript': 839, 'CSS': 432}",Python
apache-arrow,17.0.0,0,https://github.com/apache/arrow,"{'C++': 29466907, 'Java': 8828286, 'Python': 3415194, 'C#': 1943527, 'Cython': 1883185, 'Ruby': 1864394, 'R': 1735080, 'TypeScript': 1124420, 'C': 977872, 'MATLAB': 908296, 'Swift': 796404, 'CMake': 783420, 'Shell': 454653, 'Dockerfile': 153330, 'JavaScript': 143160, 'Meson': 50344, 'Thrift': 39093, 'Batchfile': 33808, 'Vala': 24760, 'Jinja': 22912, 'Objective-C++': 11472, 'Lua': 8771, 'Makefile': 7970, 'Go': 6581, 'HTML': 5588, 'Awk': 3709, 'FreeMarker': 2241, 'Emacs Lisp': 1064, 'CSS': 289}",Python
apache-nifi,1.27.0,1,https://github.com/apache/nifi,"{'Java': 51609463, 'TypeScript': 4409402, 'HTML': 1162896, 'JavaScript': 981362, 'SCSS': 354367, 'Python': 139661, 'Shell': 121510, 'CSS': 109511, 'Groovy': 75432, 'GAP': 31419, 'Batchfile': 27527, 'Dockerfile': 23935, 'XSLT': 13690, 'Mustache': 4876, 'Clojure': 3993, 'C++': 652}",JavaScript
apache-orc,2.0.2,0,https://github.com/apache/orc,"{'Java': 3631303, 'C++': 2653802, 'CMake': 92385, 'Python': 48876, 'SCSS': 36593, 'HTML': 15234, 'Dockerfile': 12607, 'C': 6988, 'Shell': 6692, 'Ruby': 67}",Python
argo-cd-2.12,2.12.4,0,https://github.com/argoproj/argo-cd,"{'Go': 6475503, 'TypeScript': 1242821, 'Lua': 195075, 'SCSS': 89947, 'Shell': 54512, 'Makefile': 24913, 'Dockerfile': 15131, 'Procfile': 9323, 'JavaScript': 5927, 'CSS': 2209, 'Mustache': 1066, 'HTML': 895}",JavaScript
argo-rollouts,1.7.2,0,https://github.com/argoproj/argo-rollouts,"{'Go': 3751272, 'TypeScript': 513668, 'SCSS': 33213, 'Shell': 14632, 'Makefile': 12469, 'JavaScript': 3864, 'Dockerfile': 3639, 'HTML': 479, 'CSS': 22}",JavaScript
argo-workflows,3.5.11,0,https://github.com/argoproj/argo-workflows,"{'Go': 4232781, 'TypeScript': 649486, 'Nix': 111103, 'Makefile': 40010, 'SCSS': 32066, 'Shell': 16715, 'JavaScript': 4248, 'Dockerfile': 3977, 'Python': 3639, 'Java': 2559, 'HTML': 472}",JavaScript
arpack,3.9.1,1,https://github.com/opencollab/arpack-ng,"{'Fortran': 5294567, 'C++': 164400, 'Python': 71269, 'M4': 63552, 'CMake': 45956, 'C': 45172, 'Shell': 40509, 'Makefile': 16407}",Python
asciidoctor,2.0.23,0,https://github.com/asciidoctor/asciidoctor,"{'Ruby': 2117335, 'CSS': 69714, 'Gherkin': 33432, 'JavaScript': 2186, 'Shell': 2167}",Ruby
asciidoc,10.2.1,0,https://github.com/asciidoc-py/asciidoc-py,"{'Python': 388634, 'JavaScript': 183539, 'CSS': 48864, 'XSLT': 18022, 'Shell': 13998, 'Makefile': 3890, 'Dockerfile': 1258, 'TeX': 697, 'M4': 152}",Python
atlantis,0.30.0,0,https://github.com/runatlantis/atlantis,"{'Go': 2382484, 'CSS': 13865, 'TypeScript': 11848, 'Dockerfile': 9965, 'Shell': 9667, 'HCL': 8732, 'JavaScript': 6138, 'Makefile': 4129, 'Vue': 1771}",JavaScript
audit,4.0.2,0,https://github.com/linux-audit/audit-userspace,"{'C': 1937425, 'Makefile': 99027, 'Python': 67714, 'C++': 30270, 'Roff': 25542, 'M4': 22693, 'Shell': 6801, 'SWIG': 2116, 'Go': 1908, 'sed': 890}",Python
avahi,0.9_rc1,1,https://github.com/avahi/avahi,"{'C': 1891907, 'C#': 97914, 'M4': 78603, 'Makefile': 76127, 'Python': 34704, 'Shell': 24390, 'C++': 7515, 'XSLT': 6650, 'Perl': 1492, 'Emacs Lisp': 210}",Python
aws-c-auth,0.7.31,0,https://github.com/awslabs/aws-c-auth,"{'C': 1387732, 'CMake': 20201, 'Python': 6454}",Python
aws-c-cal,0.7.4,1,https://github.com/awslabs/aws-c-cal,"{'C': 662664, 'CMake': 21720, 'Python': 1476}",Python
aws-c-common,0.9.28,0,https://github.com/awslabs/aws-c-common,"{'C': 2019874, 'Makefile': 179585, 'C++': 168075, 'CMake': 88967, 'Python': 56309, 'Kotlin': 310, 'Shell': 59}",Python
aws-c-compression,0.2.19,1,https://github.com/awslabs/aws-c-compression,"{'C': 107567, 'CMake': 5601, 'Python': 1476, 'Batchfile': 922, 'Shell': 758}",Python
aws-c-event-stream,0.4.3,1,https://github.com/awslabs/aws-c-event-stream,"{'C': 456692, 'CMake': 8217, 'Python': 1476, 'Shell': 273}",Python
aws-checksums,0.1.20,0,https://github.com/awslabs/aws-checksums,"{'C': 278068, 'CMake': 9179, 'Python': 2458}",Python
