package_name,version,epoch,repository,languages
aactl,0.4.12,18,https://github.com/GoogleCloudPlatform/aactl,"{'Go': 91441, 'Makefile': 2602, 'Shell': 1659, 'Dockerfile': 1171}"
abseil-cpp,20240722,0,https://github.com/abseil/abseil-cpp,"{'C++': 9400426, 'Starlark': 250936, 'CMake': 213565, 'NASL': 197802, 'C': 82963, 'Shell': 44528, 'Python': 23213, 'Batchfile': 6290}"
acl,2.3.2,2,https://git.savannah.nongnu.org/git/acl.git,{'Makefile': 663}
acme.sh,3.0.9,0,https://github.com/acmesh-official/acme.sh,"{'Shell': 1332489, 'Dockerfile': 1528}"
actions-runner-controller,0.9.3,2,https://github.com/actions/actions-runner-controller,"{'Go': 1539082, 'Shell': 53672, 'Smarty': 36860, 'Dockerfile': 34484, 'Makefile': 32985, 'HCL': 5034}"
addon-resizer,1.8.22,2,https://github.com/kubernetes/autoscaler,"{'Go': 23092841, 'Shell': 76361, 'Python': 29468, 'Makefile': 27055, 'Dockerfile': 6194, 'Smarty': 5802, 'Mustache': 5063, 'Bicep': 2727, 'Roff': 1730, 'Ruby': 1255}"
aerospike-7,7.1.0.7,0,https://github.com/aerospike/aerospike-server,"{'C': 4263461, 'C++': 34555, 'Makefile': 29301, 'CSS': 20062, 'Shell': 12356, 'Python': 3902, 'HTML': 2535, 'DTrace': 1224}"
aerospike,6.4.0.25,0,https://github.com/aerospike/aerospike-server,"{'C': 4263461, 'C++': 34555, 'Makefile': 29301, 'CSS': 20062, 'Shell': 12356, 'Python': 3902, 'HTML': 2535, 'DTrace': 1224}"
age,1.2.0,2,https://github.com/FiloSottile/age.git,{'Go': 167950}
airflow,2.10.2,0,https://github.com/apache/airflow,"{'Python': 36252570, 'TypeScript': 1111913, 'JavaScript': 265455, 'Shell': 190936, 'HTML': 166007, 'Dockerfile': 91772, 'Jinja': 50800, 'CSS': 23445, 'Go': 9491, 'Jupyter Notebook': 5536, 'HCL': 3786, 'Mako': 2692}"
akhq,0.25.1,0,https://github.com/tchiotludo/akhq,"{'Java': 764468, 'JavaScript': 487798, 'SCSS': 67894, 'Mustache': 2284, 'HTML': 1325, 'Shell': 945, 'Dockerfile': 562, 'TypeScript': 342}"
alsa-lib,1.2.12,1,https://github.com/alsa-project/alsa-lib.git,"{'C': 4109727, 'M4': 45495, 'Makefile': 17705, 'Common Lisp': 13388, 'Roff': 10718, 'Python': 9543, 'Shell': 3208}"
amass,4.2.0,13,https://github.com/owasp-amass/amass,"{'Go': 270374, 'Lua': 194934, 'HTML': 1655, 'Dockerfile': 429}"
amazon-cloudwatch-agent-operator,1.6.0,0,https://github.com/aws/amazon-cloudwatch-agent-operator,"{'Go': 1096383, 'Makefile': 11169, 'HCL': 5593, 'Dockerfile': 1742}"
amazon-cloudwatch-agent,1.300045.1,0,https://github.com/aws/amazon-cloudwatch-agent,"{'Go': 2819555, 'Shell': 39083, 'Makefile': 23404, 'PowerShell': 18892, 'Dockerfile': 4206}"
amazon-corretto-crypto-provider,2.4.1,0,https://github.com/corretto/amazon-corretto-crypto-provider,"{'Java': 1184672, 'C++': 209986, 'CMake': 37590, 'Shell': 21478, 'C': 108}"
amazon-k8s-cni,1.18.5,0,https://github.com/aws/amazon-vpc-cni-k8s,"{'Go': 1551767, 'Shell': 71580, 'Makefile': 18893, 'Mustache': 5238, 'Smarty': 1882, 'Dockerfile': 1295}"
aom,3.9.1,0,https://aomedia.googlesource.com/aom,{'Python': 159690}
apache2,2.4.62,1,https://github.com/apache/httpd,"{'C': 11458448, 'Python': 674135, 'M4': 128164, 'Shell': 107585, 'CMake': 54660, 'Makefile': 42025, 'Awk': 36700, 'Perl': 26848, 'BitBake': 20321, 'GDB': 17311, 'HTML': 15472, 'Lex': 13810, 'Lua': 13797, 'DTrace': 12419, 'Yacc': 10778, 'C++': 4379, 'JavaScript': 839, 'CSS': 432}"
apache-arrow,17.0.0,0,https://github.com/apache/arrow,"{'C++': 29466907, 'Java': 8828286, 'Python': 3415194, 'C#': 1943527, 'Cython': 1883185, 'Ruby': 1864394, 'R': 1735080, 'TypeScript': 1124420, 'C': 977872, 'MATLAB': 908296, 'Swift': 796404, 'CMake': 783420, 'Shell': 454653, 'Dockerfile': 153330, 'JavaScript': 143160, 'Meson': 50344, 'Thrift': 39093, 'Batchfile': 33808, 'Vala': 24760, 'Jinja': 22912, 'Objective-C++': 11472, 'Lua': 8771, 'Makefile': 7970, 'Go': 6581, 'HTML': 5588, 'Awk': 3709, 'FreeMarker': 2241, 'Emacs Lisp': 1064, 'CSS': 289}"
apache-nifi,1.27.0,1,https://github.com/apache/nifi,"{'Java': 51609463, 'TypeScript': 4409402, 'HTML': 1162896, 'JavaScript': 981362, 'SCSS': 354367, 'Python': 139661, 'Shell': 121510, 'CSS': 109511, 'Groovy': 75432, 'GAP': 31419, 'Batchfile': 27527, 'Dockerfile': 23935, 'XSLT': 13690, 'Mustache': 4876, 'Clojure': 3993, 'C++': 652}"
apache-orc,2.0.2,0,https://github.com/apache/orc,"{'Java': 3631303, 'C++': 2653802, 'CMake': 92385, 'Python': 48876, 'SCSS': 36593, 'HTML': 15234, 'Dockerfile': 12607, 'C': 6988, 'Shell': 6692, 'Ruby': 67}"
