package_name,version,epoch,repository
aactl,0.4.12,18,https://github.com/GoogleCloudPlatform/aactl
abseil-cpp,20240722,0,https://github.com/abseil/abseil-cpp
acl,2.3.2,2,https://git.savannah.nongnu.org/git/acl.git
acme.sh,3.0.9,0,https://github.com/acmesh-official/acme.sh
actions-runner-controller,0.9.3,2,https://github.com/actions/actions-runner-controller
addon-resizer,1.8.22,2,https://github.com/kubernetes/autoscaler
aerospike-7,7.1.0.7,0,https://github.com/aerospike/aerospike-server
aerospike,6.4.0.25,0,https://github.com/aerospike/aerospike-server
age,1.2.0,2,https://github.com/FiloSottile/age.git
airflow,2.10.2,0,https://github.com/apache/airflow
akhq,0.25.1,0,https://github.com/tchiotludo/akhq
alsa-lib,1.2.12,1,https://github.com/alsa-project/alsa-lib.git
amass,4.2.0,13,https://github.com/owasp-amass/amass
amazon-cloudwatch-agent-operator,1.6.0,0,https://github.com/aws/amazon-cloudwatch-agent-operator
amazon-cloudwatch-agent,1.300045.1,0,https://github.com/aws/amazon-cloudwatch-agent
amazon-corretto-crypto-provider,2.4.1,0,https://github.com/corretto/amazon-corretto-crypto-provider
amazon-k8s-cni,1.18.5,0,https://github.com/aws/amazon-vpc-cni-k8s
aom,3.9.1,0,https://aomedia.googlesource.com/aom
apache2,2.4.62,1,https://github.com/apache/httpd
apache-arrow,17.0.0,0,https://github.com/apache/arrow
apache-nifi,1.27.0,1,https://github.com/apache/nifi
apache-orc,2.0.2,0,https://github.com/apache/orc
apko,0.19.2,0,https://github.com/chainguard-dev/apko
apk-tools,2.14.4,0,https://gitlab.alpinelinux.org/alpine/apk-tools.git
apr-util,1.6.3,2,https://github.com/apache/apr-util.git
argo-cd-2.12,2.12.4,0,https://github.com/argoproj/argo-cd
argocd-extension-installer,0.0.5,1,https://github.com/argoproj-labs/argocd-extension-installer
argo-events,1.9.2,1,https://github.com/argoproj/argo-events
argon2,20190702',1,https://github.com/P-H-C/phc-winner-argon2.git
argo-rollouts,1.7.2,0,https://github.com/argoproj/argo-rollouts
argo-workflows,3.5.11,0,https://github.com/argoproj/argo-workflows
arpack,3.9.1,1,https://github.com/opencollab/arpack-ng
asciidoctor,2.0.23,0,https://github.com/asciidoctor/asciidoctor
asciidoc,10.2.1,0,https://github.com/asciidoc-py/asciidoc-py
async-profiler,3,0,https://github.com/async-profiler/async-profiler
atlantis,0.30.0,0,https://github.com/runatlantis/atlantis
attr,2.5.2,2,https://git.savannah.nongnu.org/git/attr.git
atuin,18.3.0,2,https://github.com/atuinsh/atuin
audit,4.0.2,0,https://github.com/linux-audit/audit-userspace
authservice,1.0.2,0,https://github.com/istio-ecosystem/authservice
avahi,0.9_rc1,1,https://github.com/avahi/avahi
aws-application-networking-k8s,1.0.7,0,https://github.com/aws/aws-application-networking-k8s
aws-c-auth,0.7.31,0,https://github.com/awslabs/aws-c-auth
aws-c-cal,0.7.4,1,https://github.com/awslabs/aws-c-cal
aws-c-common,0.9.28,0,https://github.com/awslabs/aws-c-common
aws-c-compression,0.2.19,1,https://github.com/awslabs/aws-c-compression
aws-c-event-stream,0.4.3,1,https://github.com/awslabs/aws-c-event-stream
aws-checksums,0.1.20,0,https://github.com/awslabs/aws-checksums
