Dataset,Package,File,Number of alerts
dataset1,aioconsol-1.0,No file,0
dataset1,apple-py-music-1.0,..\patd-malware-datasets\dataset1\python\apple-py-music-1.0\apple_py_music\__init__.py,2
dataset1,colorwin-6.6.8,No file,0
dataset1,cryptographylib-1.2.0,..\patd-malware-datasets\dataset1\python\cryptographylib-1.2.0\cryptographylib\__init__.py,2
dataset1,equests-2.27.1,..\patd-malware-datasets\dataset1\python\equests-2.27.1\requests\auth.py,3
dataset1,equests-2.27.1,..\patd-malware-datasets\dataset1\python\equests-2.27.1\requests\__init__.py,1
dataset1,fijiwashere12323-0.0.0,No file,0
dataset1,jeIlyfish-0.7.0,..\patd-malware-datasets\dataset1\python\jeIlyfish-0.7.0\jellyfish\test.py,1
dataset1,pytagora-1.2,No file,0
dataset1,request-1.0.117,No file,0
dataset1,urllibdownloader-0.0.0,No file,0
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/gzip_test.py,71
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/gzip.py,35
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/transfer_test.py,16
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/transfer.py,11
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/storage_sample/downloads_test.py,8
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/credentials_lib.py,7
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/util.py,6
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/batch.py,5
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/encoding_test.py,5
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/protorpclite/protojson.py,3
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/base_api.py,3
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/encoding_helper.py,3
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/gen_client.py,3
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/util_test.py,3
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/setup.py,3
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/base_api_test.py,2
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/protorpclite/test_util.py,1
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/credentials_lib_test.py,1
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/http_wrapper.py,1
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/gen_client_test.py,1
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/test_utils.py,1
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/regenerate_samples.py,1
dataset4,api,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/uptodate_check_test.py,1
dataset4,deco,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/decorator/setup.py,8
dataset4,deprec,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset4/python/deprecation/deprecation.py,5
