Package name,Dataset,File path,Risk level (high/critical),Languages
aastra-xml_api-1.1.4,dataset1,No file,No risk,Ruby
abbyy_cloud-0.0.10,dataset1,No file,No risk,Ruby
activemerchant_clickandbuy-0.2.0,dataset1,No file,No risk,Ruby
atlas-client-0.0.2,dataset1,No file,No risk,Ruby
auto-localize-0.1,dataset1,No file,No risk,Ruby
beerdb-api-0.1.1,dataset1,No file,No risk,Ruby
colourize-0.8.1,dataset1,/tmp/colourize-0.8.1.gem3940076903/bin/ls,CRITICAL,Ruby
indonesian-province-0.0.2,dataset1,No file,No risk,Ruby
moving-average-0.1.1,dataset1,No file,No risk,Ruby
murmuring-spider-0.0.2,dataset1,No file,No risk,Ruby
aastra-xml_api-1.1.4-r2,dataset2,No file,No risk,Ruby
abbyy_cloud-0.0.10-r2,dataset2,No file,No risk,Ruby
activemerchant_clickandbuy-0.2.0-r2,dataset2,/tmp/activemerchant_clickandbuy-0.2.0-r2.apk2215825748/home/cg/gems/activemerchant-1.137.0/lib/active_merchant/billing/gateways/netpay.rb,HIGH,Ruby
activemerchant_clickandbuy-0.2.0-r2,dataset2,/tmp/activemerchant_clickandbuy-0.2.0-r2.apk2215825748/home/cg/gems/bigdecimal-3.1.8/ext/bigdecimal/missing/dtoa.c,HIGH,Ruby
activemerchant_clickandbuy-0.2.0-r2,dataset2,/tmp/activemerchant_clickandbuy-0.2.0-r2.apk2215825748/home/cg/gems/nokogiri-1.16.7-x86_64-linux/ext/nokogiri/include/libxml2/libxml/schemasInternals.h,HIGH,Ruby
atlas-client-3.0-r2,dataset2,No file,No risk,Ruby
auto-localize-3.0-r2,dataset2,No file,No risk,Ruby
beerdb-api-0.1.1-r2,dataset2,/tmp/beerdb-api-0.1.1-r2.apk1142742840/home/cg/gems/bigdecimal-3.1.8/ext/bigdecimal/missing/dtoa.c,HIGH,Ruby
colourize-0.8.1-r2,dataset2,/tmp/colourize-0.8.1-r2.apk1128394250/home/cg/gems/colourize-0.8.1/bin/ls,CRITICAL,Ruby
indonesian-province-0.0.2-r2,dataset2,No file,No risk,Ruby
moving-average-0.1.1-r2,dataset2,No file,No risk,Ruby
murmuring-spider-0.0.2-r2,dataset2,/tmp/murmuring-spider-0.0.2-r2.apk3045074672/home/cg/gems/domain_name-0.6.20240107/test/test_domain_name-punycode.rb,HIGH,Ruby
murmuring-spider-0.0.2-r2,dataset2,/tmp/murmuring-spider-0.0.2-r2.apk3045074672/home/cg/gems/ffi-1.17.0-x86_64-linux-gnu/lib/2.5/ffi_c.so,HIGH,Ruby
murmuring-spider-0.0.2-r2,dataset2,/tmp/murmuring-spider-0.0.2-r2.apk3045074672/home/cg/gems/ffi-1.17.0-x86_64-linux-gnu/lib/2.6/ffi_c.so,HIGH,Ruby
murmuring-spider-0.0.2-r2,dataset2,/tmp/murmuring-spider-0.0.2-r2.apk3045074672/home/cg/gems/ffi-1.17.0-x86_64-linux-gnu/lib/2.7/ffi_c.so,HIGH,Ruby
murmuring-spider-0.0.2-r2,dataset2,/tmp/murmuring-spider-0.0.2-r2.apk3045074672/home/cg/gems/ffi-1.17.0-x86_64-linux-gnu/lib/3.0/ffi_c.so,HIGH,Ruby
