Dataset,Package,File,Number of alerts
dataset1,cis_publishers-1.2.3.tar,panic-at-the-distro-malicious-apks/datasets/dataset1/python/cis_publishers-1.2.3.tar/cis_publishers-1.2.3/setup.py,8
dataset1,pptest-999.0.14.tar,panic-at-the-distro-malicious-apks/datasets/dataset1/python/pptest-999.0.14.tar/pptest-999.0.14/setup.py,14
dataset1,pptest-999.0.14.tar,panic-at-the-distro-malicious-apks/datasets/dataset1/python/pptest-999.0.14.tar/pptest-999.0.14/pptest/__init__.py,13
dataset1,progresbar2-0.1.tar,panic-at-the-distro-malicious-apks/datasets/dataset1/python/progresbar2-0.1.tar/progresbar2-0.1/setup.py,1
dataset1,randrange-0.0.0.tar,panic-at-the-distro-malicious-apks/datasets/dataset1/python/randrange-0.0.0.tar/randrange-0.0.0/setup.py,1
dataset1,simpleson-0.1.tar,panic-at-the-distro-malicious-apks/datasets/dataset1/python/simpleson-0.1.tar/simpleson-0.1/setup.py,1
dataset1,xolortpdcanegu-0.0.0.tar,panic-at-the-distro-malicious-apks/datasets/dataset1/python/xolortpdcanegu-0.0.0.tar/xolortpdcanegu-0.0.0/xolortpdcanegu/__init__.py,101
dataset4,jellyfin-web-master,panic-at-the-distro-malicious-apks/datasets/dataset4/js/jellyfin-web-master/scripts/source.py,4
dataset4,jellyfin-web-master,panic-at-the-distro-malicious-apks/datasets/dataset4/js/jellyfin-web-master/scripts/remove.py,3
dataset4,jellyfin-web-master,panic-at-the-distro-malicious-apks/datasets/dataset4/js/jellyfin-web-master/scripts/duplicates.py,2
dataset4,jellyfin-web-master,panic-at-the-distro-malicious-apks/datasets/dataset4/js/jellyfin-web-master/scripts/unused.py,1
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/cmake.py,200
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/mac_tool.py,32
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/MSVSNew.py,26
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/make.py,25
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/xcode.py,23
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/eclipse.py,16
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/android.py,13
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/msvs.py,12
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/win_tool.py,12
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/common.py,8
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/input.py,7
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/ninja.py,6
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/packaging/_elffile.py,5
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/packaging/tags.py,4
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/packaging/markers.py,3
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/MSVSUserFile.py,2
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/easy_xml.py,2
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/msvs_emulation.py,2
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/xcode_ninja.py,2
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/test_gyp.py,2
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/__init__.py,1
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/generator/analyzer.py,1
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/xcode_emulation.py,1
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/gyp/xcodeproj_file.py,1
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/packaging/__init__.py,1
dataset4,node-gyp,panic-at-the-distro-malicious-apks/datasets/dataset4/js/node-gyp/package/gyp/pylib/packaging/_manylinux.py,1
dataset4,statsd,panic-at-the-distro-malicious-apks/datasets/dataset4/js/statsd/examples/python_example.py,2
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/gzip_test.py,71
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/transfer_test.py,41
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/gzip.py,35
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/batch_test.py,24
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/base_api_test.py,17
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/transfer.py,11
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/credentials_lib.py,10
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/encoding_test.py,9
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/util.py,8
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/bigquery_sample/bigquery_v2/bigquery_v2_client.py,8
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/storage_sample/downloads_test.py,8
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/storage_sample/storage_v1/storage_v1_client.py,7
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/protorpclite/protojson.py,6
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/batch.py,6
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/dns_sample/dns_v1/dns_v1_client.py,5
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/setup.py,4
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/base_api.py,3
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/encoding_helper.py,3
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/testing/mock_test.py,3
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/gen_client.py,3
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/util_test.py,3
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/fusiontables_sample/fusiontables_v1/fusiontables_v1_client.py,3
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/servicemanagement_sample/servicemanagement_v1/servicemanagement_v1_client.py,3
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/protorpclite/test_util.py,2
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/credentials_lib_test.py,2
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/exceptions_test.py,2
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/gen_client_lib.py,2
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/dns_sample/gen_dns_client_test.py,2
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/iam_sample/iam_v1/iam_v1_client.py,2
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/protorpclite/descriptor_test.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/http_wrapper.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/base/py/util.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/gen_client_test.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/service_registry.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/apitools/gen/test_utils.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/iam_sample/iam_client_test.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/regenerate_samples.py,1
dataset4,apitools,panic-at-the-distro-malicious-apks/datasets/dataset4/python/apitools/samples/uptodate_check_test.py,1
dataset4,decorator,panic-at-the-distro-malicious-apks/datasets/dataset4/python/decorator/setup.py,16
dataset4,decorator,panic-at-the-distro-malicious-apks/datasets/dataset4/python/decorator/src/decorator.py,1
dataset4,decorator,panic-at-the-distro-malicious-apks/datasets/dataset4/python/decorator/src/tests/documentation.py,1
dataset4,deprecation,panic-at-the-distro-malicious-apks/datasets/dataset4/python/deprecation/deprecation.py,6
dataset4,deprecation,panic-at-the-distro-malicious-apks/datasets/dataset4/python/deprecation/setup.py,4
dataset4,deprecation,panic-at-the-distro-malicious-apks/datasets/dataset4/python/deprecation/docs/conf.py,1
dataset4,license-expression,panic-at-the-distro-malicious-apks/datasets/dataset4/python/license-expression/etc/scripts/utils_thirdparty.py,26
dataset4,license-expression,panic-at-the-distro-malicious-apks/datasets/dataset4/python/license-expression/etc/scripts/utils_dejacode.py,6
dataset4,license-expression,panic-at-the-distro-malicious-apks/datasets/dataset4/python/license-expression/docs/source/conf.py,4
dataset4,license-expression,panic-at-the-distro-malicious-apks/datasets/dataset4/python/license-expression/etc/scripts/gen_pypi_simple.py,3
dataset4,license-expression,panic-at-the-distro-malicious-apks/datasets/dataset4/python/license-expression/etc/scripts/utils_requirements.py,3
dataset4,license-expression,panic-at-the-distro-malicious-apks/datasets/dataset4/python/license-expression/src/license_expression/__init__.py,2
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/test_packaging.py,63
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/test_util.py,12
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/testr_command.py,6
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/test_files.py,6
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/test_core.py,5
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/test_wsgi.py,5
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/util.py,5
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/git.py,4
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/util.py,4
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/setup.py,4
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/packaging.py,3
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/test_integration.py,3
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/test_setup.py,3
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/tests/base.py,2
dataset4,pbr-6.0.0,panic-at-the-distro-malicious-apks/datasets/dataset4/python/pbr-6.0.0/pbr/sphinxext.py,1
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_lobject.py,45
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/scripts/build/appveyor.py,20
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/setup.py,15
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_copy.py,10
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/testutils.py,7
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/scripts/build/download_packages_appveyor.py,6
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_connection.py,6
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_transaction.py,4
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/doc/src/conf.py,3
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/lib/__init__.py,3
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/scripts/make_errorcodes.py,2
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/scripts/make_errors.py,2
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_ipaddress.py,2
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_types_basic.py,2
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/lib/extras.py,1
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_cancel.py,1
dataset4,psycopg2,panic-at-the-distro-malicious-apks/datasets/dataset4/python/psycopg2/tests/test_sql.py,1
dataset4,python-webencodings,panic-at-the-distro-malicious-apks/datasets/dataset4/python/python-webencodings/setup.py,8
dataset4,python-webencodings,panic-at-the-distro-malicious-apks/datasets/dataset4/python/python-webencodings/docs/conf.py,2
dataset4,python-webencodings,panic-at-the-distro-malicious-apks/datasets/dataset4/python/python-webencodings/webencodings/mklabels.py,2
dataset4,smartypants.py,panic-at-the-distro-malicious-apks/datasets/dataset4/python/smartypants.py/setup.py,7
dataset4,smartypants.py,panic-at-the-distro-malicious-apks/datasets/dataset4/python/smartypants.py/tests/test.py,2
dataset4,smartypants.py,panic-at-the-distro-malicious-apks/datasets/dataset4/python/smartypants.py/tests/test_cli.py,2
dataset4,smartypants.py,panic-at-the-distro-malicious-apks/datasets/dataset4/python/smartypants.py/smartypants.py,1
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/test/unit/test_emitters.py,49
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/test/integration/test_integration.py,12
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/examples/redis_example/redis_worker.py,6
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/setup.py,6
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/emitters.py,5
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/examples/redis_example/redis_app.py,3
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/examples/snowplow_api_example/snowplow_app.py,3
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/examples/tracker_api_example/app.py,3
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/test/unit/test_subject.py,2
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/payload.py,1
dataset4,snowplow-python-tracker,panic-at-the-distro-malicious-apks/datasets/dataset4/python/snowplow-python-tracker/snowplow_tracker/test/unit/test_payload.py,1
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websockifyserver.py,37
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocket.py,18
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/test_token_plugins.py,13
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocketproxy.py,12
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/test_websockifyserver.py,10
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/setup.py,7
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/sysloghandler.py,5
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/token_plugins.py,4
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/echo_client.py,3
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/tests/test_websocketproxy.py,2
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/auth_plugins.py,2
dataset4,websockify,panic-at-the-distro-malicious-apks/datasets/dataset4/python/websockify/websockify/websocketserver.py,1
bandit4mal,abseil-cpp.json,D:\bandit\upstream-repos\abseil-cpp\absl\abseil.podspec.gen.py,6
bandit4mal,addon-resizer.json,D:\bandit\upstream-repos\addon-resizer\hack\scripts\break_mig.py,7
bandit4mal,addon-resizer.json,D:\bandit\upstream-repos\addon-resizer\vertical-pod-autoscaler\hack\emit-metrics.py,1
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_taskinstance.py,550
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\jobs\test_scheduler_job.py,469
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_dag.py,421
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\decorators\test_setup_teardown.py,309
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\core\test_configuration.py,253
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\models\test_dagrun.py,181
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\serialization\test_dag_serialization.py,180
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\providers\tests\amazon\aws\hooks\test_s3.py,176
bandit4mal,airflow.json,D:\bandit\upstream-repos\airflow\tests\api_connexion\endpoints\test_dag_endpoint.py,175
