Dataset,Package,File,Number of alerts
dataset1,add-position-99.10.9,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/add-position-99.10.9.tgz/package/index.js,16
dataset1,call-with-safe-iteration-closing-99.10.13,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/call-with-safe-iteration-closing-99.10.13.tgz/package/index.js,16
dataset1,cloudshelltest-99.10.9,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/cloudshelltest-99.10.9.tgz/package/index.js,16
dataset1,eslint-config-eslint-5.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/eslint-config-eslint-5.0.2.tgz/package/build.js,5
dataset1,eslint-config-eslint-5.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/eslint-config-eslint-5.0.2.tgz/package/index.js,2
dataset1,ethers-4-99.10.9,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/ethers-4-99.10.9.tgz/package/index.js,14
dataset1,event-hubs-track-1-99.10.9,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/event-hubs-track-1-99.10.9.tgz/package/index.js,15
dataset1,plugin-proposal-decorators-99.10.9,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/plugin-proposal-decorators-99.10.9.tgz/package/index.js,16
dataset1,plugin-transform-duplicate-keys-99.10.9,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/plugin-transform-duplicate-keys-99.10.9.tgz/package/index.js,16
dataset1,spring-projects-6.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/spring-projects-6.0.2.tgz/package/index.js,1
dataset1,spring-projects-6.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/spring-projects-6.0.2.tgz/package/scripts/init.js,1
dataset1,spring-projects-6.0.2,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/js/spring-projects-6.0.2.tgz/package/scripts/rsh.js,6
dataset1,cis_publishers-1.2.3.tar,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/python/cis_publishers-1.2.3.tar.gz/cis_publishers-1.2.3/setup.py,9
dataset1,pptest-999.0.14.tar,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/python/pptest-999.0.14.tar.gz/pptest-999.0.14/pptest/__init__.py,18
dataset1,pptest-999.0.14.tar,/home/lyvd/panic-at-the-distro-malicious-apks/datasets/dataset1/python/pptest-999.0.14.tar.gz/pptest-999.0.14/setup.py,19
