Package name,Dataset,File path,Risk level (high/critical),Languages
Backdoor.Linux.Rootin.b-4.5.1-r0,dataset5,/tmp/Backdoor.Linux.Rootin.b-4.5.1-r0.apk1929147396/var/lib/db/sbom/Backdoor.Linux.Rootin.b-4.5.1-r0.spdx.json,HIGH,C
KAAL_BHAIRAV-4.5.1-r0,dataset5,/tmp/KAAL_BHAIRAV-4.5.1-r0.apk3905719583/home/cg/bin/spider,HIGH,C
mig-logcleaner-resurrected-4.5.1-r0,dataset5,/tmp/mig-logcleaner-resurrected-4.5.1-r0.apk2121342278/home/cg/mig-logcleaner,CRITICAL,C
RedMenshenBPFDoor-4.5.1-r0,dataset5,/tmp/RedMenshenBPFDoor-4.5.1-r0.apk2812632580/home/cg/RedMenshenBPFDoor,CRITICAL,C
aerospike-7,upstream-repos,/tmp/aerospike-7.zip3044909887/as/include/base/proto.h,HIGH,C
aerospike-7,upstream-repos,/tmp/aerospike-7.zip3044909887/cf/src/msgpack_in.c,HIGH,C
aerospike,upstream-repos,/tmp/aerospike.zip2186738675/as/include/base/proto.h,HIGH,C
aerospike,upstream-repos,/tmp/aerospike.zip2186738675/cf/src/msgpack_in.c,HIGH,C
alsa-lib,upstream-repos,/tmp/alsa-lib.zip1048681774/include/asoundef.h,HIGH,C
alsa-lib,upstream-repos,/tmp/alsa-lib.zip1048681774/include/sound/uapi/asound.h,HIGH,C
alsa-lib,upstream-repos,/tmp/alsa-lib.zip1048681774/include/sound/uapi/emu10k1.h,HIGH,C
alsa-lib,upstream-repos,/tmp/alsa-lib.zip1048681774/include/ump_msg.h,HIGH,C
alsa-lib,upstream-repos,/tmp/alsa-lib.zip1048681774/src/pcm/pcm_softvol.c,HIGH,C
alsa-lib,upstream-repos,/tmp/alsa-lib.zip1048681774/src/pcm/plugin_ops.h,HIGH,C
alsa-lib,upstream-repos,/tmp/alsa-lib.zip1048681774/test/midifile.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/crypto/apr_md5.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/crypto/crypt_blowfish.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/json/apr_json_decode.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/ldap/apr_ldap_url.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/memcache/apr_memcache.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/redis/apr_redis.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/test/testcrypto.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/test/testsiphash.c,HIGH,C
apr-util,upstream-repos,/tmp/apr-util.zip477357849/uri/apr_uri.c,HIGH,C
audit,upstream-repos,/tmp/audit.zip2409882013/lib/audit-records.h,HIGH,C
audit,upstream-repos,/tmp/audit.zip2409882013/src/libev/ev.c,HIGH,C
