Package,Dataset,#AVs,ALYac,APEX,AVG,Acronis,AhnLab-V3,Alibaba,Antiy-AVL,Arcabit,Avast,Avast-Mobile,Avira,Baidu,BitDefender,BitDefenderFalx,Bkav,CAT-QuickHeal,CMC,CTX,ClamAV,CrowdStrike,Cylance,Cynet,DeepInstinct,DrWeb,ESET-NOD32,Elastic,Emsisoft,F-Secure,FireEye,Fortinet,GData,Google,Gridinsoft,Ikarus,Jiangmin,K7AntiVirus,K7GW,Kaspersky,Kingsoft,Lionic,Malwarebytes,MaxSecure,McAfee,McAfeeD,MicroWorld-eScan,Microsoft,NANO-Antivirus,Paloalto,Panda,Rising,SUPERAntiSpyware,Sangfor,SentinelOne,Skyhigh,Sophos,Symantec,SymantecMobileInsight,TACHYON,Tencent,Trapmine,TrendMicro,TrendMicro-HouseCall,Trustlook,VBA32,VIPRE,Varist,ViRobot,VirIT,Webroot,Xcitium,Yandex,Zillya,ZoneAlarm,Zoner,alibabacloud,huorong,tehtris
add-position-99.10.9,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,timeout,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected,timeout,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
call-with-safe-iteration-closing-99.10.13,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
cloudshelltest-99.10.9,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
eslint-config-eslint-5.0.2,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
ethers-4-99.10.9,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,malicious,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,failure,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
event-hubs-track-1-99.10.9,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,malicious,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
perf-storage-file-share-99.10.9,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,timeout,undetected,type-unsupported,undetected,undetected,undetected,undetected,timeout,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,malicious,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,timeout,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
plugin-proposal-decorators-99.10.9,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
plugin-transform-duplicate-keys-99.10.9,dataset1,77,undetected,type-unsupported,timeout,undetected,undetected,type-unsupported,undetected,undetected,timeout,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,timeout,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,timeout,undetected,undetected,undetected,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected,timeout,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,timeout,undetected,undetected,type-unsupported,timeout,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,timeout,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
spring-projects-6.0.2,dataset1,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,failure,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
